sample_name,total_reads,nonhost_reads,total_ercc_reads,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_idseq_dedup,nucleotide_type,collection_date,collection_location,Host Species
RR034B_400_uaRa_S202,14757638,2665350,1419996,92.695,2.01,10195542,10177894,9450712,4692910,RNA,3/14/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_401_uaRa_S68,11903796,3846476,165566,96.129,1.79,9643040,9633916,9269744,5174036,RNA,2/5/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_402_uaRa_S246,9368696,3011161,51704,95.237,1.61,6483498,6465376,6174678,3825046,RNA,3/15/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_403_uaRa_S290,16354946,2017928,5919576,90.508,2.16,7074842,7054210,6403320,2963764,RNA,3/15/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_404_uaRa_S112,14613808,3024395,2273792,91.876,2.02,9815078,9810028,9017728,4459850,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_405_uaRa_S200,9209936,426222,186,59.932,1.82,2514348,2469582,1506894,827888,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_406_uaRa_S244,14913650,4256766,134140,95.342,2,8481138,8477896,8086114,4049096,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_407_uaRa_S288,5904274,722610,305480,91.578,1.67,4606276,4593146,4218316,2523460,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_408_uaRa_S28,89723050,8277080,11050406,91.64,3.9,60196654,60169678,55163918,14134452,RNA,3/15/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_409_uaRa_S26,14315034,259083,344000,92.313,2.45,12261828,12257120,11319224,4618546,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_410_uaRa_S150,8166338,2053601,406626,93.573,1.77,6077024,6073284,5686448,3220116,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_411_uaRa_S194,15992966,671180,1060286,91.413,2.36,12479950,12475618,11408310,4825118,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_412_uaRa_S74,15266680,763626,129268,95.216,2.62,12432344,12423866,11837542,4522294,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_413_uaRa_S118,22006978,5896085,2159042,92.316,2.28,13459574,13453856,12425320,5454962,RNA,2/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_414_uaRa_S72,15588696,2526570,6654372,89.515,1.95,6356386,6348910,5689938,2925394,RNA,3/15/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_415_uaRa_S157,12951130,3360863,601148,93.444,1.69,6841266,6807554,6392778,3773126,RNA,4/23/19,"AngavoKely, Madagascar",Eidolon dupreanum
