sample_name,total_reads,nonhost_reads,total_ercc_reads,quality_control,compression_ratio,reads_after_star,reads_after_trimmomatic,reads_after_priceseq,reads_after_idseq_dedup,nucleotide_type,collection_date,collection_location,Host Species
RR034B_499_uaRa_S289,22041290,1148452,138218,92.34,2.11,17010990,16990792,15707980,7460514,RNA,12/17/18,"Mahialambo, Madagascar",Pteropus rufus
RR034B_500_uaRa_S27,13797372,869057,602314,90.774,1.93,10918964,10913908,9911602,5133704,RNA,12/18/18,"Mahialambo, Madagascar",Pteropus rufus
RR034B_501_uaRa_S73,12872700,206688,350636,90.489,2.01,9514982,9507290,8610014,4294144,RNA,12/18/18,"Mahialambo, Madagascar",Pteropus rufus
RR034B_502_uaRa_S190,77975810,17243077,24533480,90.982,3.26,41144716,41118584,37434298,11466452,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_503_uaRa_S30,16485306,3167242,1079204,92.054,2.66,8428544,8423774,7758778,2914538,RNA,1/6/19,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_504_uaRa_S71,20527254,174657,999526,89.804,2.18,17166056,17152718,15415866,7079750,RNA,1/6/19,"AngavoKely, Madagascar",Pteropus rufus
RR034B_505_uaRa_S86,16181806,107010,15240782,52.11,2.19,881814,871540,459512,209782,RNA,2/15/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_506_uaRa_S296,15243938,2902806,3551294,91.354,2.16,7649102,7643362,6987774,3230008,RNA,7/27/18,"AngavoKely, Madagascar",Eidolon dupreanum
RR034B_507_uaRa_S165,386966,40126,4,15.695,2.46,370172,64714,58100,23602,RNA,7/16/14,"Mahabo, Madagascar",Pteropus rufus
RR034B_508_uaRa_S54,11577494,395296,3460520,90.164,2.34,6941664,6935434,6258878,2670148,RNA,12/22/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_509_uaRa_S259,165652,24342,34476,93.726,1.24,120086,119834,112552,91012,RNA,1/3/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_510_uaRa_S307,1256446,108426,438120,94.42,1.39,606094,600026,572276,412440,RNA,1/4/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_511_uaRa_S4,135058,4766,94858,85.751,1.14,34670,34520,29730,26158,RNA,1/5/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_512_uaRa_S48,12898334,3411738,1611088,92.137,1.54,7714278,7697436,7107734,4622806,RNA,1/6/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_513_uaRa_S92,150000000,1361928,1835904,93.88,6.84,125797892,125430472,118098618,17266608,RNA,1/8/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_515_uaRa_S282,3775906,188690,2519782,89.686,2.47,1010254,999762,906052,367486,RNA,4/14/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_516_uaRa_S108,17279030,2689634,3724248,91.353,2.19,10747866,10737954,9818448,4486134,RNA,12/22/18,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_517_uaRa_S20,150000000,593173,60882,95.596,12.22,139549588,138519090,133403830,10920564,RNA,1/5/19,"Maromizaha, Madagascar",Rousettus madagascariensis
RR034B_518_uaRa_S238,14244126,5612638,696512,94.448,1.58,10098738,10094590,9538036,6035736,RNA,1/6/19,"Maromizaha, Madagascar",Rousettus madagascariensis
