sampleid,czb_id,sample_type,henipavirus,roost_site,latitude_s,longitude_e,collection_date,bat_species,bat_sex,unique_tag_id,recap,bat_age_class,notes
KEL204,RR034B_362_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1032,yes,NL,
KEL205,RR034B_363_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1031,no,NL,
KEL206,RR034B_364_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1030,yes,J,
KEL208,RR034B_365_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,799,yes,NL,
KEL209,RR034B_366_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1028,no,NL,
KEL210,RR034B_367_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1027,no,NL,
KEL211,RR034B_368_uaRa,urine,1,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1026,no,NL,
KEL212,RR034B_369_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/10/18,Eidolon dupreanum,female,1025,no,NL,
KEL216,RR034B_370_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,968,no,NL,
KEL220,RR034B_371_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,972,no,A,
KEL223,RR034B_372_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,975,no,A,
KEL226,RR034B_373_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,9.56E+14,yes,A,
KEL227,RR034B_374_uaRa,urine,1,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,978,no,NL,
KEL228,RR034B_375_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,female,979,no,J,
KEL230,RR034B_376_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,981,yes,A,
KEL232,RR034B_377_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,983,no,A,
KEL235,RR034B_378_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,986,no,A,
KEL236,RR034B_379_uaRa,urine,0,AngavoKely,-18.9327,47.7578,7/27/18,Eidolon dupreanum,male,987,no,J,
KEL242,RR034B_380_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/6/19,Eidolon dupreanum,male,1086_969,yes,A,
KEL245,RR034B_381_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/6/19,Eidolon dupreanum,male,1607,yes,A,
KEL247,RR034B_382_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/6/19,Eidolon dupreanum,female,1622,no,NL,
KEL248,RR034B_383_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/6/19,Eidolon dupreanum,male,9.56E+14,yes,A,
KEL250,RR034B_384_uaRa,urine,1,AngavoKely,-18.9327,47.7578,1/6/19,Eidolon dupreanum,male,1616,yes,A,
KEL267,RR034B_385_uaRa,urine,1,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,347,yes,A,
KEL268,RR034B_386_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,9.56E+14,yes,A,
KEL269,RR034B_387_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,332,yes,A,
KEL270,RR034B_388_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,female,1605,no,NL,
KEL271,RR034B_389_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,female,,no,NL,
KEL272B,RR034B_390_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,393,no,NL,
KEL273,RR034B_391_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,977,yes,A,
KEL275,RR034B_392_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/7/19,Eidolon dupreanum,male,9.56E+14,yes,A,
KEL275B,RR034B_393_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,388,no,NL,
KEL278,RR034B_394_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/5/19,Eidolon dupreanum,male,1608,no,A,
KEL278B,RR034B_395_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,399,no,NL,
KEL279,RR034B_396_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/5/19,Eidolon dupreanum,male,1630,no,A,
KEL279B,RR034B_397_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,391,no,NL,
KEL280B,RR034B_398_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,1014,no,NL,
KEL281B,RR034B_399_uaRa,urine,1,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,1002,yes,NL,
KEL283B,RR034B_400_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/14/19,Eidolon dupreanum,female,9.56E+14,yes,NL,
KEL285,RR034B_401_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/5/19,Eidolon dupreanum,male,9.56E+14,yes,A,
KEL285B,RR034B_402_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/15/19,Eidolon dupreanum,female,1008,no,NL,
KEL286B,RR034B_403_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/15/19,Eidolon dupreanum,female,1007,no,NL,
KEL287,RR034B_404_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1625,no,A,
KEL289,RR034B_405_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,female,1627,no,A,
KEL290,RR034B_406_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1650,no,A,
KEL291,RR034B_407_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,female,1636,no,NL,
KEL291B,RR034B_408_uaRa,urine,1,AngavoKely,-18.9327,47.7578,3/15/19,Eidolon dupreanum,female,1202,no,NL,
KEL293,RR034B_409_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1024,yes,A,
KEL295,RR034B_410_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1626,no,A,
KEL296,RR034B_411_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,female,1644,no,A,
KEL298,RR034B_412_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1645,no,A,
KEL299,RR034B_413_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/6/19,Eidolon dupreanum,male,1607,yes,A,
KEL299B,RR034B_414_uaRa,urine,0,AngavoKely,-18.9327,47.7578,3/15/19,Eidolon dupreanum,female,1003,no,NL,
KEL305,RR034B_415_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1638,no,NL,
KEL306,RR034B_416_uaRa,urine,0,AngavoKely,-18.9327,47.7578,4/23/19,Eidolon dupreanum,female,1640,no,NL,
